item_name,calories

"Veal, variety meats and by-products, pancreas, cooked, braised - 3 oz",217.6

"Lamb, variety meats and by-products, tongue, raw - 4 oz",250.86

"Game meat, bison, shoulder clod, separable lean only, trimmed to 0"" fat, raw - 1 lb",494.42

"Veal, Australian, shank, hind, bone-in, separable lean and fat - 1 roast with bone",475.2

"Bread, french or vienna, toasted (includes sourdough) - 1 slice, large",280.72

"Cake, chocolate, prepared from recipe without frosting - 1 piece (1/12 of 9"" dia)",352.45

